Region,Island,Reef,Latitude,Longitude,Protection_status
Alto Golfo,Animas Norte,AG_ANIMAS,28.696497,-112.931658,area protegida
Alto Golfo,Coronado Norte,AG_CORONADO_MITLAN,29.069818,-113.522121,area protegida
Alto Golfo,Angel de la Guarda,AG_ESTANQUE,29.067038,-113.081497,area protegida
Alto Golfo,Angel de la Guarda,AG_MACHOS,29.283891,-113.497768,area protegida
Alto Golfo,Partida Norte,AG_PARTIDA,28.900188,-113.038225,area protegida
Alto Golfo,Partida Norte,AG_PARTIDA_GILLIGAN,28.891301,-113.044803,area protegida
Alto Golfo,Angel de la Guarda,AG_PUNTA_ROJA,29.027972,-113.190012,area protegida
Alto Golfo,Angel de la Guarda,AG_REFUGIO_NORTE,29.555553,-113.560319,area protegida
Alto Golfo,Angel de la Guarda,AG_REFUGIO_SUR,29.551174,-113.523539,area protegida
Alto Golfo,Baja Norte,AG_SAN_FRANCISQUITO,28.438885,-112.859968,area protegida
Alto Golfo,Angel de la Guarda,AG_SUSPIRO,28.987659,-113.115138,area protegida
Alto Golfo,Islote Alcatraz,ALCATRAZ,29.168623,-113.607147,area protegida
Alto Golfo,Sonora,BAJO_JOMA,27.927945,-111.052126,sin proteccion
Alto Golfo,Cabeza de Caballo,CABEZA_CABALLO,28.966373,-113.476939,area protegida
Alto Golfo,Baja Norte,CANTILES_GUADALUPE,29.197441,-113.638887,area protegida
Alto Golfo,Baja Norte,CHOROS,28.839478,-113.246814,area protegida
Alto Golfo,Coronado Norte,CORONADITO,29.096397,-113.530829,area protegida
Alto Golfo,Coronado Norte,CORONADO_PUNTA_ESTE,29.074067,-113.502283,area protegida
Alto Golfo,Coronado Norte,CORONADO_TIJERETAS,29.037442,-113.489783,area protegida
Alto Golfo,Baja Norte,DON_JUAN,28.959777,-113.438793,area protegida
Alto Golfo,Gemelo del Faro,GEMELO_FARO,28.956861,-113.476823,area protegida
Alto Golfo,Baja Norte,HERRADURA,28.947622,-113.479923,area protegida
Alto Golfo,Llave,LLAVE,28.998567,-113.521292,area protegida
Alto Golfo,Baja Norte,PESCADOR,28.935405,-113.382567,area protegida
Alto Golfo,Baja Norte,PUERTO_DON_JUAN,28.950161,-113.450698,area protegida
Alto Golfo,Baja Norte,QUEMADO,28.951232,-113.426138,area protegida
Alto Golfo,Racito,RACITO,29.014756,-113.504526,area protegida
Alto Golfo,Salsipuedes,SALSIPUEDES,28.718918,-112.948851,area protegida
Alto Golfo,Salsipuedes,SALSIPUEDES,28.718912,-112.948855,area protegida
Alto Golfo,Salsipuedes,SALSIPUEDES,28.718914,-112.948859,area protegida
Alto Golfo,Sonora,SAN_CARLOS_SON,27.927795,-111.058828,sin proteccion
Alto Golfo,San Esteban,SAN_ESTEBAN_NOROESTE,28.721161,-112.611261,area protegida
Alto Golfo,San Esteban,SAN_ESTEBAN_NOROESTE,28.721169,-112.611268,area protegida
Alto Golfo,San Esteban,SAN_ESTEBAN_SUR,28.664925,-112.548377,area protegida
Alto Golfo,San Pedro Martir,SAN_PEDRO_MARTIR_LOBERA_NORTE,28.387808,-112.297151,area protegida
Alto Golfo,San Pedro Martir,SAN_PEDRO_MARTIR_PINACULOS,28.368839,-112.301943,area protegida
Alto Golfo,San Pedro Martir,SAN_PEDRO_MARTIR_PINACULOS,28.368824,-112.301948,area protegida
Alto Golfo,San Pedro Martir,SAN_PEDRO_MARTIR_PINACULOS,28.368833,-112.301941,area protegida
Alto Golfo,San Pedro Martir,SAN_PEDRO_MARTIR_PUNTA_NORTE,28.388724,-112.314769,area protegida
Alto Golfo,San Pedro Nolasco,SAN_PEDRO_NOLASCO,27.951575,-111.366683,sin proteccion
Alto Golfo,San Pedro Nolasco,SAN_PEDRO_NOLASCO,27.956015,-111.364713,sin proteccion
Alto Golfo,Baja Norte,TORSON,28.839987,-113.261207,area protegida
Alto Golfo,Turner,TURNER,28.715522,-112.291984,sin proteccion
Alto Golfo,Turner,TURNER,28.715529,-112.291989,sin proteccion
Alto Golfo,Ventana,VENTANA,28.990807,-113.495004,area protegida
Bahia Banderas,Jalisco,BAJO_MANTA,20.452631,-105.661898,sin proteccion
Bahia Banderas,Jalisco,CABO_CORRIENTE,20.416839,-105.695083,sin proteccion
Bahia Banderas,Jalisco,CHIMO,20.497152,-105.559876,sin proteccion
Bahia Banderas,Jalisco,IGLESIAS,20.479781,-105.621211,sin proteccion
Bahia Banderas,Jalisco,MARIETAS_MORRITO,20.669571,-105.656431,sin proteccion
Bahia Banderas,Jalisco,MARIETAS_MORRO,20.683888,-105.614166,sin proteccion
Bahia Banderas,Jalisco,MARIETAS_ROCAS_GEMELAS,20.697222,-105.591111,sin proteccion
Cabo Pulmo,Baja Sur,ARRECIFE_MARIO,23.425523,-109.404161,cabo pulmo
Cabo Pulmo,Baja Sur,BAJO_CABO_PULMO,23.457861,-109.405463,cabo pulmo
Cabo Pulmo,Baja Sur,BARRA_PRIMERA,23.434781,-109.424377,cabo pulmo
Cabo Pulmo,Baja Sur,BLEDITO,23.361148,-109.421591,cabo pulmo
Cabo Pulmo,Baja Sur,CANTIL_MEDIO,23.434309,-109.414791,cabo pulmo
Cabo Pulmo,Baja Sur,CANTILES_CABO_PULMO,23.438823,-109.410821,cabo pulmo
Cabo Pulmo,Baja Sur,CASITAS,23.403539,-109.414811,cabo pulmo
Cabo Pulmo,Baja Sur,ESPERANZA,23.424715,-109.408303,cabo pulmo
Cabo Pulmo,Baja Sur,GAVILANES_CABO_PULMO,23.452161,-109.424501,cabo pulmo
Cabo Pulmo,Baja Sur,ISLOTE_CABO_PULMO,23.407997,-109.413338,cabo pulmo
Cabo Pulmo,Baja Sur,ISLOTE_CABO_PULMO,23.407992,-109.413332,cabo pulmo
Cabo Pulmo,Baja Sur,LINEA,23.319897,-109.417391,cabo pulmo
Cabo Pulmo,Baja Sur,LISAS,23.458291,-109.428915,cabo pulmo
Cabo Pulmo,Baja Sur,LOBERA_CABO_PULMO,23.384551,-109.412618,cabo pulmo
Cabo Pulmo,Baja Sur,MORROS_CABO_PULMO,23.461938,-109.407203,cabo pulmo
Cabo Pulmo,Baja Sur,NAVAJAS,23.446164,-109.416728,cabo pulmo
Cabo Pulmo,Baja Sur,PIEDRAS_BOLAS,23.355254,-109.422322,cabo pulmo
Cabo Pulmo,Baja Sur,POTANCO,23.381516,-109.420505,cabo pulmo
Cabo Pulmo,Baja Sur,TACHUELAS,23.492131,-109.457481,cabo pulmo
Corredor,Baja Sur,ARCO_PUNTA_ALTA,24.991151,-110.749478,sin proteccion
Corredor,Baja Sur,BARRA_SAN_COSME,25.568533,-111.143117,sin proteccion
Corredor,Baja Sur,BOTAFUEGO,24.763685,-110.664045,sin proteccion
Corredor,Baja Sur,BURROS,25.032361,-110.803731,sin proteccion
Corredor,San Jose Sur,CALABOZO,25.106564,-110.703969,sin proteccion
Corredor,Baja Sur,CARRIZALITO,25.347233,-110.978601,sin proteccion
Corredor,Baja Sur,CUEVAS,24.952031,-110.733271,sin proteccion
Corredor,Baja Sur,HABANA,25.129618,-110.861821,refugio pesquero
Corredor,Baja Sur,HABANA,25.129626,-110.860275,refugio pesquero
Corredor,Baja Sur,ISLOTE_AGUA_VERDE,25.532478,-111.063858,refugio pesquero
Corredor,Baja Sur,ISLOTE_AGUA_VERDE,25.532671,-111.063687,refugio pesquero
Corredor,Baja Sur,MONTEALBAN,25.209148,-110.915061,sin proteccion
Corredor,Baja Sur,NIDOS,25.277751,-110.933121,sin proteccion
Corredor,San Jose Sur,PARDITO_ARRECIFE,24.851796,-110.585851,refugio pesquero
Corredor,San Jose Sur,PARDITO_BAJO,24.839214,-110.608598,sin proteccion
Corredor,San Jose Sur,PARDITO_BAJO,24.839211,-110.608591,sin proteccion
Corredor,San Jose Sur,PARDITO_CAYO,24.873233,-110.603751,refugio pesquero
Corredor,San Jose Sur,PARDITO_FARO_LOBERA,24.842937,-110.605687,sin proteccion
Corredor,San Jose Sur,PARDITO_REFUGIO,24.853533,-110.579633,refugio pesquero
Corredor,Baja Sur,PORTUGUES,24.747083,-110.677231,sin proteccion
Corredor,Baja Sur,PUNTA_BERRENDO,25.510458,-111.015583,sin proteccion
Corredor,Baja Sur,PUNTA_BOTELLA,25.292517,-110.93405,refugio pesquero
Corredor,Baja Sur,PUNTA_COYOTE,24.706066,-110.688271,refugio pesquero
Corredor,Baja Sur,PUNTA_COYOTE,24.706071,-110.688265,refugio pesquero
Corredor,Baja Sur,PUNTA_MECHUDO,24.809281,-110.659191,sin proteccion
Corredor,San Jose Sur,PUNTA_TS,25.031541,-110.589031,sin proteccion
Corredor,Baja Sur,REFUGIO_MORENA,25.245621,-110.922071,refugio pesquero
Corredor,Baja Sur,REFUGIO_SAN_MARCIAL,25.530862,-111.004843,refugio pesquero
Corredor,Baja Sur,SAN_CARLOS,25.330172,-110.953441,sin proteccion
Corredor,San Dieguito,SAN_DIEGO_ABNEGADO,25.182633,-110.710011,refugio pesquero
Corredor,San Dieguito,SAN_DIEGUITO_NORTE,25.203031,-110.694921,sin proteccion
Corredor,Baja Sur,SAN_EVARISTO,24.911377,-110.704946,sin proteccion
Corredor,Baja Sur,SAN_EVARISTO_PUNTA_NORTE,24.919291,-110.702781,sin proteccion
Corredor,San Francisco Sur,SAN_FRANCISCO_PUNTA_NORTE_FARO,24.842971,-110.566011,refugio pesquero
Corredor,San Francisco Sur,SAN_FRANCISCO_PUNTA_SUR,24.813921,-110.564321,sin proteccion
Corredor,San Francisco Sur,SAN_FRANCISQUITO_1M_BAJO,24.810348,-110.579678,sin proteccion
Corredor,San Francisco Sur,SAN_FRANCISQUITO_ADENTRO_BAJO,24.810612,-110.530208,sin proteccion
